ville,date,temp_max,temp_min,precipitation,pluie,neige
Sydney,2017-07-20,14.8,8.1,0.0,0.0,0.0
Sydney,2017-07-21,14.9,5.7,0.0,0.0,0.0
Sydney,2017-07-22,16.6,3.4,0.0,0.0,0.0
Sydney,2017-07-23,19.6,3.1,0.0,0.0,0.0
Sydney,2017-07-24,18.5,7.2,0.0,0.0,0.0
Sydney,2017-07-25,18.1,6.3,0.0,0.0,0.0
Sydney,2017-07-26,19.4,11.0,0.0,0.0,0.0
Sydney,2017-07-27,16.4,6.9,0.0,0.0,0.0
Sydney,2017-07-28,17.5,8.0,2.0,2.0,0.0
Sydney,2017-07-29,18.6,5.1,0.0,0.0,0.0
Sydney,2017-07-30,23.7,9.5,0.1,0.1,0.0
Sydney,2017-07-31,15.5,9.8,14.2,14.2,0.0
Sydney,2017-08-01,15.7,7.2,0.0,0.0,0.0
Sydney,2017-08-02,15.4,6.0,0.0,0.0,0.0
Sydney,2017-08-03,15.8,9.3,9.9,9.9,0.0
Sydney,2017-08-04,15.4,8.6,0.0,0.0,0.0
Sydney,2017-08-05,17.5,9.0,0.0,0.0,0.0
Sydney,2017-08-06,19.3,10.3,0.0,0.0,0.0
Sydney,2017-08-07,16.8,10.2,0.0,0.0,0.0
Sydney,2017-08-08,16.6,8.5,0.0,0.0,0.0
Sydney,2017-08-09,18.5,7.5,0.0,0.0,0.0
Sydney,2017-08-10,22.7,5.4,0.0,0.0,0.0
Sydney,2017-08-11,23.6,11.5,0.0,0.0,0.0
Sydney,2017-08-12,18.7,6.5,0.0,0.0,0.0
Sydney,2017-08-13,18.7,8.1,0.0,0.0,0.0
Sydney,2017-08-14,21.1,5.0,0.0,0.0,0.0
Sydney,2017-08-15,22.2,6.8,1.0,1.0,0.0
Sydney,2017-08-16,20.3,11.6,0.0,0.0,0.0
Sydney,2017-08-17,20.6,9.1,0.0,0.0,0.0
Sydney,2017-08-18,15.0,10.3,0.0,0.0,0.0
Sydney,2017-08-19,14.7,7.6,0.0,0.0,0.0
Sydney,2017-08-20,14.3,5.8,0.2,0.2,0.0
Sydney,2017-08-21,15.6,5.6,2.1,2.1,0.0
Sydney,2017-08-22,17.4,5.3,0.0,0.0,0.0
Sydney,2017-08-23,19.5,5.2,0.7,0.7,0.0
Sydney,2017-08-24,16.5,7.4,0.5,0.5,0.0
Sydney,2017-08-25,15.1,8.1,0.5,0.5,0.0
Sydney,2017-08-26,18.1,5.9,0.0,0.0,0.0
Sydney,2017-08-27,18.1,6.5,1.3,1.3,0.0
Sydney,2017-08-28,14.5,5.7,0.0,0.0,0.0
Sydney,2017-08-29,15.2,6.0,0.3,0.3,0.0
Sydney,2017-08-30,16.5,6.6,0.0,0.0,0.0
Sydney,2017-08-31,14.6,8.2,0.0,0.0,0.0
Sydney,2017-09-01,16.0,6.9,0.0,0.0,0.0
Sydney,2017-09-02,19.3,4.5,0.0,0.0,0.0
Sydney,2017-09-03,27.2,7.0,0.0,0.0,0.0
Sydney,2017-09-04,20.6,9.2,0.0,0.0,0.0
Sydney,2017-09-05,16.9,10.4,0.0,0.0,0.0
Sydney,2017-09-06,17.0,7.7,0.0,0.0,0.0
Sydney,2017-09-07,19.5,9.8,0.0,0.0,0.0
Sydney,2017-09-08,18.1,8.3,0.0,0.0,0.0
Sydney,2017-09-09,17.3,8.1,0.0,0.0,0.0
Sydney,2017-09-10,17.3,5.7,0.0,0.0,0.0
Sydney,2017-09-11,21.6,5.7,0.0,0.0,0.0
Sydney,2017-09-12,27.9,8.6,0.0,0.0,0.0
Sydney,2017-09-13,31.8,17.5,0.0,0.0,0.0
Sydney,2017-09-14,17.3,10.3,5.3,5.3,0.0
Sydney,2017-09-15,20.7,10.2,0.0,0.0,0.0
Sydney,2017-09-16,22.1,8.7,0.2,0.2,0.0
Sydney,2017-09-17,15.8,6.1,0.0,0.0,0.0
Sydney,2017-09-18,22.0,5.6,0.0,0.0,0.0
Sydney,2017-09-19,23.1,10.7,0.0,0.0,0.0
Sydney,2017-09-20,17.1,8.4,0.1,0.1,0.0
Sydney,2017-09-21,22.7,7.3,0.0,0.0,0.0
Sydney,2017-09-22,28.0,9.2,0.0,0.0,0.0
Sydney,2017-09-23,32.6,12.5,0.0,0.0,0.0
Sydney,2017-09-24,30.1,17.7,0.0,0.0,0.0
Sydney,2017-09-25,25.8,12.4,0.0,0.0,0.0
Sydney,2017-09-26,19.9,8.7,0.0,0.0,0.0
Sydney,2017-09-27,21.5,12.7,0.0,0.0,0.0
Sydney,2017-09-28,24.1,15.2,0.0,0.0,0.0
Sydney,2017-09-29,24.9,9.8,0.0,0.0,0.0
Sydney,2017-09-30,24.4,12.1,0.0,0.0,0.0
Sydney,2017-10-01,20.8,8.8,0.0,0.0,0.0
Sydney,2017-10-02,21.4,12.1,0.5,0.5,0.0
Sydney,2017-10-03,22.8,13.0,0.7,0.7,0.0
Sydney,2017-10-04,20.9,12.4,0.0,0.0,0.0
Sydney,2017-10-05,24.2,15.0,0.0,0.0,0.0
Sydney,2017-10-06,19.2,14.7,0.1,0.1,0.0
Sydney,2017-10-07,18.7,12.5,0.0,0.0,0.0
Sydney,2017-10-08,21.5,11.4,1.0,1.0,0.0
Sydney,2017-10-09,29.5,15.3,0.2,0.2,0.0
Sydney,2017-10-10,19.9,16.3,0.6,0.6,0.0
Sydney,2017-10-11,24.3,17.9,1.5,1.5,0.0
Sydney,2017-10-12,26.8,14.1,0.9,0.9,0.0
Sydney,2017-10-13,22.2,11.9,0.2,0.2,0.0
Sydney,2017-10-14,18.4,16.2,1.6,1.6,0.0
Sydney,2017-10-15,20.8,15.2,0.1,0.1,0.0
Sydney,2017-10-16,22.3,12.9,0.1,0.1,0.0
Sydney,2017-10-17,22.8,13.2,0.0,0.0,0.0
Sydney,2017-10-18,22.6,16.1,0.2,0.2,0.0
Sydney,2017-10-19,24.8,15.5,0.0,0.0,0.0
Sydney,2017-10-20,18.4,15.2,15.6,15.6,0.0
Sydney,2017-10-21,16.7,13.2,0.5,0.5,0.0
Sydney,2017-10-22,18.9,10.3,6.9,6.9,0.0
Sydney,2017-10-23,19.1,12.4,0.8,0.8,0.0
Sydney,2017-10-24,25.2,11.8,0.0,0.0,0.0
Sydney,2017-10-25,28.5,14.2,1.0,1.0,0.0
Sydney,2017-10-26,20.6,16.6,4.7,4.7,0.0
Sydney,2017-10-27,20.6,14.9,1.9,1.9,0.0
Sydney,2017-10-28,26.3,14.5,0.0,0.0,0.0
Sydney,2017-10-29,29.0,17.1,0.1,0.1,0.0
Sydney,2017-10-30,32.6,15.2,1.4,1.4,0.0
Sydney,2017-10-31,18.4,12.1,2.3,2.3,0.0
Sydney,2017-11-01,19.6,13.1,0.0,0.0,0.0
Sydney,2017-11-02,20.3,11.5,0.4,0.4,0.0
Sydney,2017-11-03,28.5,13.8,0.1,0.1,0.0
Sydney,2017-11-04,16.5,14.6,12.2,12.2,0.0
Sydney,2017-11-05,17.2,14.1,10.3,10.3,0.0
Sydney,2017-11-06,25.1,13.9,33.7,33.7,0.0
Sydney,2017-11-07,18.3,13.0,0.2,0.2,0.0
Sydney,2017-11-08,18.4,12.9,1.6,1.6,0.0
Sydney,2017-11-09,20.8,10.1,0.0,0.0,0.0
Sydney,2017-11-10,21.4,11.2,0.0,0.0,0.0
Sydney,2017-11-11,21.8,12.6,0.0,0.0,0.0
Sydney,2017-11-12,21.6,12.8,0.0,0.0,0.0
Sydney,2017-11-13,20.5,12.5,0.1,0.1,0.0
Sydney,2017-11-14,21.7,13.7,0.0,0.0,0.0
Sydney,2017-11-15,23.0,13.1,0.2,0.2,0.0
Sydney,2017-11-16,23.3,16.0,1.1,1.1,0.0
Sydney,2017-11-17,22.0,18.0,2.2,2.2,0.0
Sydney,2017-11-18,21.6,17.8,3.1,3.1,0.0
Sydney,2017-11-19,22.8,16.6,1.2,1.2,0.0
Sydney,2017-11-20,21.9,15.8,1.1,1.1,0.0
Sydney,2017-11-21,22.0,16.5,0.2,0.2,0.0
Sydney,2017-11-22,22.3,15.8,2.3,2.3,0.0
Sydney,2017-11-23,23.9,15.2,0.2,0.2,0.0
Sydney,2017-11-24,25.7,15.3,0.0,0.0,0.0
Sydney,2017-11-25,25.7,15.5,0.0,0.0,0.0
Sydney,2017-11-26,25.5,17.5,0.0,0.0,0.0
Sydney,2017-11-27,24.9,17.4,3.8,3.8,0.0
Sydney,2017-11-28,24.1,18.5,7.1,7.1,0.0
Sydney,2017-11-29,24.1,18.8,1.9,1.9,0.0
Sydney,2017-11-30,25.4,17.8,1.5,1.5,0.0
Sydney,2017-12-01,27.3,18.9,0.0,0.0,0.0
Sydney,2017-12-02,27.7,18.6,14.7,14.7,0.0
Sydney,2017-12-03,25.2,15.1,0.2,0.2,0.0
Sydney,2017-12-04,18.4,16.0,19.7,19.7,0.0
Sydney,2017-12-05,22.7,15.2,1.0,1.0,0.0
Sydney,2017-12-06,23.4,16.5,1.7,1.7,0.0
Sydney,2017-12-07,28.2,17.5,0.0,0.0,0.0
Sydney,2017-12-08,27.7,17.5,2.6,2.6,0.0
Sydney,2017-12-09,22.0,15.9,0.8,0.8,0.0
Sydney,2017-12-10,24.2,14.3,0.0,0.0,0.0
Sydney,2017-12-11,25.8,14.8,0.0,0.0,0.0
Sydney,2017-12-12,25.8,17.5,0.0,0.0,0.0
Sydney,2017-12-13,27.8,17.8,0.0,0.0,0.0
Sydney,2017-12-14,36.1,19.3,0.0,0.0,0.0
Sydney,2017-12-15,24.4,20.3,1.8,1.8,0.0
Sydney,2017-12-16,29.7,20.3,0.0,0.0,0.0
Sydney,2017-12-17,25.9,21.0,0.2,0.2,0.0
Sydney,2017-12-18,27.7,20.2,0.0,0.0,0.0
Sydney,2017-12-19,32.0,20.5,0.0,0.0,0.0
Sydney,2017-12-20,35.7,21.7,1.0,1.0,0.0
Sydney,2017-12-21,22.7,20.1,6.4,6.4,0.0
Sydney,2017-12-22,24.3,19.1,2.2,2.2,0.0
Sydney,2017-12-23,28.9,17.1,0.0,0.0,0.0
Sydney,2017-12-24,34.9,19.0,3.7,3.7,0.0
Sydney,2017-12-25,21.7,19.1,1.9,1.9,0.0
Sydney,2017-12-26,22.2,19.1,0.2,0.2,0.0
Sydney,2017-12-27,24.8,18.8,0.7,0.7,0.0
Sydney,2017-12-28,26.9,16.2,0.0,0.0,0.0
Sydney,2017-12-29,30.6,19.7,0.0,0.0,0.0
Sydney,2017-12-30,32.2,20.6,2.9,2.9,0.0
Sydney,2017-12-31,23.8,20.1,1.0,1.0,0.0
Sydney,2018-01-01,25.8,20.1,0.0,0.0,0.0
Sydney,2018-01-02,25.7,17.3,0.8,0.8,0.0
Sydney,2018-01-03,22.0,18.6,1.6,1.6,0.0
Sydney,2018-01-04,22.4,18.1,1.2,1.2,0.0
Sydney,2018-01-05,26.6,15.1,0.0,0.0,0.0
Sydney,2018-01-06,29.1,18.3,0.0,0.0,0.0
Sydney,2018-01-07,40.8,20.5,0.0,0.0,0.0
Sydney,2018-01-08,33.5,21.5,0.1,0.1,0.0
Sydney,2018-01-09,27.8,20.8,8.1,8.1,0.0
Sydney,2018-01-10,23.0,19.3,0.9,0.9,0.0
Sydney,2018-01-11,24.5,16.0,2.5,2.5,0.0
Sydney,2018-01-12,28.1,19.8,0.0,0.0,0.0
Sydney,2018-01-13,33.4,19.5,0.2,0.2,0.0
Sydney,2018-01-14,21.0,14.6,7.9,7.9,0.0
Sydney,2018-01-15,23.0,16.0,0.6,0.6,0.0
Sydney,2018-01-16,21.3,17.9,0.7,0.7,0.0
Sydney,2018-01-17,22.6,14.9,0.0,0.0,0.0
Sydney,2018-01-18,26.4,12.2,0.0,0.0,0.0
Sydney,2018-01-19,29.8,14.3,0.0,0.0,0.0
Sydney,2018-01-20,32.3,13.2,0.0,0.0,0.0
Sydney,2018-01-21,28.5,16.9,0.0,0.0,0.0
Sydney,2018-01-22,33.4,19.2,0.0,0.0,0.0
Sydney,2018-01-23,28.2,21.0,0.0,0.0,0.0
Sydney,2018-01-24,29.5,20.0,0.0,0.0,0.0
Sydney,2018-01-25,26.9,21.6,0.1,0.1,0.0
Sydney,2018-01-26,27.4,21.9,0.1,0.1,0.0
Sydney,2018-01-27,27.9,22.5,0.3,0.3,0.0
Sydney,2018-01-28,26.8,22.4,3.7,3.7,0.0
Sydney,2018-01-29,27.6,21.6,0.1,0.1,0.0
Sydney,2018-01-30,28.7,19.4,0.7,0.7,0.0
Sydney,2018-01-31,20.8,17.8,1.4,1.4,0.0
Sydney,2018-02-01,20.9,15.4,0.1,0.1,0.0
Sydney,2018-02-02,21.5,15.7,1.9,1.9,0.0
Sydney,2018-02-03,23.0,17.2,13.6,13.6,0.0
Sydney,2018-02-04,24.1,17.1,0.5,0.5,0.0
Sydney,2018-02-05,25.0,15.5,0.0,0.0,0.0
Sydney,2018-02-06,25.5,16.5,0.0,0.0,0.0
Sydney,2018-02-07,26.3,17.7,0.0,0.0,0.0
Sydney,2018-02-08,28.4,16.9,0.0,0.0,0.0
Sydney,2018-02-09,27.2,17.4,0.0,0.0,0.0
Sydney,2018-02-10,27.7,19.7,0.4,0.4,0.0
Sydney,2018-02-11,29.6,20.4,0.0,0.0,0.0
Sydney,2018-02-12,27.4,18.6,0.4,0.4,0.0
Sydney,2018-02-13,25.1,21.5,2.5,2.5,0.0
Sydney,2018-02-14,34.6,21.0,0.5,0.5,0.0
Sydney,2018-02-15,27.2,20.0,0.1,0.1,0.0
Sydney,2018-02-16,27.8,17.1,0.0,0.0,0.0
Sydney,2018-02-17,27.4,20.6,0.6,0.6,0.0
Sydney,2018-02-18,27.9,19.3,0.0,0.0,0.0
Sydney,2018-02-19,26.1,19.9,2.4,2.4,0.0
Sydney,2018-02-20,21.3,18.6,7.2,7.2,0.0
Sydney,2018-02-21,23.2,16.3,0.4,0.4,0.0
Sydney,2018-02-22,25.3,16.0,0.0,0.0,0.0
Sydney,2018-02-23,26.2,17.6,0.1,0.1,0.0
Sydney,2018-02-24,31.5,19.8,0.7,0.7,0.0
Sydney,2018-02-25,25.8,18.0,21.9,21.9,0.0
Sydney,2018-02-26,19.6,17.3,15.8,15.8,0.0
Sydney,2018-02-27,22.7,16.1,0.2,0.2,0.0
Sydney,2018-02-28,27.8,14.3,0.0,0.0,0.0
Sydney,2018-03-01,23.3,20.0,0.1,0.1,0.0
Sydney,2018-03-02,23.2,17.9,0.3,0.3,0.0
Sydney,2018-03-03,26.4,16.6,0.0,0.0,0.0
Sydney,2018-03-04,24.1,18.4,0.0,0.0,0.0
Sydney,2018-03-05,23.1,19.1,8.4,8.4,0.0
Sydney,2018-03-06,22.6,18.6,3.0,3.0,0.0
Sydney,2018-03-07,23.3,19.3,0.0,0.0,0.0
Sydney,2018-03-08,23.2,18.9,0.1,0.1,0.0
Sydney,2018-03-09,23.6,18.7,2.1,2.1,0.0
Sydney,2018-03-10,24.4,18.1,0.1,0.1,0.0
Sydney,2018-03-11,26.1,15.5,0.0,0.0,0.0
Sydney,2018-03-12,25.9,14.7,5.1,5.1,0.0
Sydney,2018-03-13,21.5,19.4,14.1,14.1,0.0
Sydney,2018-03-14,24.5,17.8,1.1,1.1,0.0
Sydney,2018-03-15,31.1,18.1,0.1,0.1,0.0
Sydney,2018-03-16,24.0,19.2,0.7,0.7,0.0
Sydney,2018-03-17,29.4,18.5,0.0,0.0,0.0
Sydney,2018-03-18,36.6,17.6,0.0,0.0,0.0
Sydney,2018-03-19,27.9,18.9,0.0,0.0,0.0
Sydney,2018-03-20,25.9,16.7,6.7,6.7,0.0
Sydney,2018-03-21,20.6,18.8,22.8,22.8,0.0
Sydney,2018-03-22,21.8,18.2,1.3,1.3,0.0
Sydney,2018-03-23,22.6,17.1,0.8,0.8,0.0
Sydney,2018-03-24,25.1,16.5,0.0,0.0,0.0
Sydney,2018-03-25,31.9,19.1,0.6,0.6,0.0
Sydney,2018-03-26,24.2,15.7,0.0,0.0,0.0
Sydney,2018-03-27,22.2,11.3,0.0,0.0,0.0
Sydney,2018-03-28,26.2,15.4,0.0,0.0,0.0
Sydney,2018-03-29,26.4,16.6,0.0,0.0,0.0
Sydney,2018-03-30,29.2,16.6,0.0,0.0,0.0
Sydney,2018-03-31,23.5,18.7,0.3,0.3,0.0
Sydney,2018-04-01,28.9,17.5,0.0,0.0,0.0
Sydney,2018-04-02,29.9,17.2,0.2,0.2,0.0
Sydney,2018-04-03,23.5,19.7,0.0,0.0,0.0
Sydney,2018-04-04,23.8,19.0,0.4,0.4,0.0
Sydney,2018-04-05,26.1,17.0,0.2,0.2,0.0
Sydney,2018-04-06,24.5,16.1,0.0,0.0,0.0
Sydney,2018-04-07,26.8,18.5,0.0,0.0,0.0
Sydney,2018-04-08,25.5,17.5,0.0,0.0,0.0
Sydney,2018-04-09,32.7,16.3,0.0,0.0,0.0
Sydney,2018-04-10,23.2,17.5,0.1,0.1,0.0
Sydney,2018-04-11,27.4,17.8,0.0,0.0,0.0
Sydney,2018-04-12,33.1,16.1,0.0,0.0,0.0
Sydney,2018-04-13,31.5,20.8,0.0,0.0,0.0
Sydney,2018-04-14,29.7,21.5,0.0,0.0,0.0
Sydney,2018-04-15,21.9,18.2,0.0,0.0,0.0
Sydney,2018-04-16,28.0,16.6,0.0,0.0,0.0
Sydney,2018-04-17,21.3,16.9,0.7,0.7,0.0
Sydney,2018-04-18,21.4,16.5,0.0,0.0,0.0
Sydney,2018-04-19,24.6,13.9,0.2,0.2,0.0
Sydney,2018-04-20,22.7,14.7,0.0,0.0,0.0
Sydney,2018-04-21,21.6,16.8,0.4,0.4,0.0
Sydney,2018-04-22,21.3,14.7,0.4,0.4,0.0
Sydney,2018-04-23,23.1,13.9,0.3,0.3,0.0
Sydney,2018-04-24,22.4,14.5,0.0,0.0,0.0
Sydney,2018-04-25,21.3,13.0,1.9,1.9,0.0
Sydney,2018-04-26,22.2,15.3,0.0,0.0,0.0
Sydney,2018-04-27,19.4,16.0,3.7,3.7,0.0
Sydney,2018-04-28,17.1,14.8,5.9,5.9,0.0
Sydney,2018-04-29,19.2,14.3,2.8,2.8,0.0
Sydney,2018-04-30,18.7,12.9,3.7,3.7,0.0
Sydney,2018-05-01,22.4,10.8,0.0,0.0,0.0
Sydney,2018-05-02,22.3,10.9,0.0,0.0,0.0
Sydney,2018-05-03,24.8,12.0,0.0,0.0,0.0
Sydney,2018-05-04,26.2,13.7,0.1,0.1,0.0
Sydney,2018-05-05,20.9,10.6,0.0,0.0,0.0
Sydney,2018-05-06,20.7,9.4,0.0,0.0,0.0
Sydney,2018-05-07,23.8,9.7,0.0,0.0,0.0
Sydney,2018-05-08,23.7,10.5,0.0,0.0,0.0
Sydney,2018-05-09,23.0,10.6,0.2,0.2,0.0
Sydney,2018-05-10,23.9,11.8,0.0,0.0,0.0
Sydney,2018-05-11,14.9,8.6,0.2,0.2,0.0
Sydney,2018-05-12,16.9,11.4,4.1,4.1,0.0
Sydney,2018-05-13,17.5,13.6,3.6,3.6,0.0
Sydney,2018-05-14,17.7,13.7,0.6,0.6,0.0
Sydney,2018-05-15,18.5,9.5,0.0,0.0,0.0
Sydney,2018-05-16,16.3,9.9,0.1,0.1,0.0
Sydney,2018-05-17,18.5,8.4,0.0,0.0,0.0
Sydney,2018-05-18,18.8,8.5,0.0,0.0,0.0
Sydney,2018-05-19,18.5,9.5,0.1,0.1,0.0
Sydney,2018-05-20,20.1,8.4,0.0,0.0,0.0
Sydney,2018-05-21,19.8,10.4,0.0,0.0,0.0
Sydney,2018-05-22,22.2,10.2,0.0,0.0,0.0
Sydney,2018-05-23,19.6,10.4,0.0,0.0,0.0
Sydney,2018-05-24,18.4,9.2,0.2,0.2,0.0
Sydney,2018-05-25,17.7,10.4,0.0,0.0,0.0
Sydney,2018-05-26,19.8,8.1,0.0,0.0,0.0
Sydney,2018-05-27,19.7,7.7,0.0,0.0,0.0
Sydney,2018-05-28,19.3,8.9,0.0,0.0,0.0
Sydney,2018-05-29,22.6,8.1,0.7,0.7,0.0
Sydney,2018-05-30,16.9,9.8,3.1,3.1,0.0
Sydney,2018-05-31,16.6,9.8,0.0,0.0,0.0
Sydney,2018-06-01,14.7,11.0,0.5,0.5,0.0
Sydney,2018-06-02,15.4,11.7,2.6,2.6,0.0
Sydney,2018-06-03,16.4,12.3,0.3,0.3,0.0
Sydney,2018-06-04,16.5,11.4,5.4,5.4,0.0
Sydney,2018-06-05,14.7,11.1,16.7,16.7,0.0
Sydney,2018-06-06,17.3,11.0,11.3,11.3,0.0
Sydney,2018-06-07,18.5,10.5,0.2,0.2,0.0
Sydney,2018-06-08,17.9,7.7,3.0,3.0,0.0
Sydney,2018-06-09,14.8,10.4,3.0,3.0,0.0
Sydney,2018-06-10,15.9,10.9,5.1,5.1,0.0
Sydney,2018-06-11,16.0,9.0,0.5,0.5,0.0
Sydney,2018-06-12,16.8,6.4,0.6,0.6,0.0
Sydney,2018-06-13,17.9,7.9,0.0,0.0,0.0
Sydney,2018-06-14,17.8,8.6,0.0,0.0,0.0
Sydney,2018-06-15,18.3,9.2,0.0,0.0,0.0
Sydney,2018-06-16,16.0,8.0,0.0,0.0,0.0
Sydney,2018-06-17,13.9,6.9,0.3,0.3,0.0
Sydney,2018-06-18,15.0,8.0,0.5,0.5,0.0
Sydney,2018-06-19,13.3,9.0,7.1,7.1,0.0
Sydney,2018-06-20,17.0,11.0,2.0,2.0,0.0
Sydney,2018-06-21,14.9,9.1,1.5,1.5,0.0
Sydney,2018-06-22,17.0,6.7,0.0,0.0,0.0
Sydney,2018-06-23,17.1,5.2,0.0,0.0,0.0
Sydney,2018-06-24,15.2,4.1,0.0,0.0,0.0
Sydney,2018-06-25,15.6,4.5,0.0,0.0,0.0
Sydney,2018-06-26,15.9,6.1,0.4,0.4,0.0
Sydney,2018-06-27,15.1,6.1,5.2,5.2,0.0
Sydney,2018-06-28,17.1,5.7,16.3,16.3,0.0
Sydney,2018-06-29,14.9,4.7,0.0,0.0,0.0
Sydney,2018-06-30,17.5,4.9,0.0,0.0,0.0
Sydney,2018-07-01,15.6,5.1,0.3,0.3,0.0
Sydney,2018-07-02,15.7,9.2,2.2,2.2,0.0
Sydney,2018-07-03,16.8,6.9,0.2,0.2,0.0
Sydney,2018-07-04,18.5,6.2,0.0,0.0,0.0
Sydney,2018-07-05,23.3,8.8,0.0,0.0,0.0
Sydney,2018-07-06,23.2,9.1,0.0,0.0,0.0
Sydney,2018-07-07,16.0,6.9,0.0,0.0,0.0
Sydney,2018-07-08,15.3,8.2,0.0,0.0,0.0
Sydney,2018-07-09,15.6,7.7,0.0,0.0,0.0
Sydney,2018-07-10,15.7,5.4,0.0,0.0,0.0
Sydney,2018-07-11,15.8,3.7,0.2,0.2,0.0
Sydney,2018-07-12,16.8,4.0,0.0,0.0,0.0
Sydney,2018-07-13,16.2,5.5,0.0,0.0,0.0
Sydney,2018-07-14,14.9,4.9,0.0,0.0,0.0
Sydney,2018-07-15,15.3,1.8,0.0,0.0,0.0
Sydney,2018-07-16,15.9,0.7,0.0,0.0,0.0
Sydney,2018-07-17,20.5,7.2,0.0,0.0,0.0
Sydney,2018-07-18,18.4,4.8,0.0,0.0,0.0
Sydney,2018-07-19,19.4,3.9,0.0,0.0,0.0
Sydney,2018-07-20,19.4,9.5,0.0,0.0,0.0
Sydney,2018-07-21,15.9,6.5,0.0,0.0,0.0
Sydney,2018-07-22,15.5,2.7,0.0,0.0,0.0
Sydney,2018-07-23,17.5,1.3,0.0,0.0,0.0
Sydney,2018-07-24,21.4,10.6,0.0,0.0,0.0
Sydney,2018-07-25,21.0,7.7,0.0,0.0,0.0
Sydney,2018-07-26,18.1,5.6,0.0,0.0,0.0
Sydney,2018-07-27,18.8,3.9,0.0,0.0,0.0
Sydney,2018-07-28,20.0,4.0,0.5,0.5,0.0
Sydney,2018-07-29,22.9,10.4,0.0,0.0,0.0
Sydney,2018-07-30,17.3,5.9,0.0,0.0,0.0
Sydney,2018-07-31,19.6,5.1,0.0,0.0,0.0
Sydney,2018-08-01,19.4,7.5,0.0,0.0,0.0
Sydney,2018-08-02,16.9,5.5,0.2,0.2,0.0
Sydney,2018-08-03,21.1,7.3,0.3,0.3,0.0
Sydney,2018-08-04,18.8,7.8,0.0,0.0,0.0
Sydney,2018-08-05,18.9,4.6,0.0,0.0,0.0
Sydney,2018-08-06,16.3,9.6,3.1,3.1,0.0
Sydney,2018-08-07,15.8,8.3,0.0,0.0,0.0
Sydney,2018-08-08,18.1,6.8,0.0,0.0,0.0
Sydney,2018-08-09,17.8,5.4,0.0,0.0,0.0
Sydney,2018-08-10,20.7,4.4,0.0,0.0,0.0
Sydney,2018-08-11,24.0,9.9,0.0,0.0,0.0
Sydney,2018-08-12,15.6,7.8,0.0,0.0,0.0
Sydney,2018-08-13,19.3,8.2,0.0,0.0,0.0
Sydney,2018-08-14,20.9,8.3,0.0,0.0,0.0
Sydney,2018-08-15,23.8,9.2,0.0,0.0,0.0
